Name,Gender,BloodStatus,Species,House_id,Affiliation_id,Wand,Description
Harry Potter,Male,Half-Blood,Human,1,"25, 26, 27, 28,10","11"", Holly, Phoenix Feather",The main protagonist of the series a young wizard who survived an attack by the dark wizard Voldemort as a baby.
Hermoine Granger,Female,Muggle-born,Human,1,"29, 28, 26","10"", Vine, Dragon Heartstring",One of Harry's best friends and a top student at Hogwarts School of Witchcraft and Wizardry.
Ron Weasley,Male,Pure-Blood,Human,1,"25, 26, 27,10","14"", Willow, Unicorn Hair",Another of Harry's best friends a loyal and humorous wizard from a large family.
Ginevra Weasley,Female,Pure-Blood,Human,1,"28, 26,10","N/A, Yew, N/A",The youngest of the Weasley siblings and Ron's younger sister known as Ginny.
Neville Longbottom,Male,Pure-Blood,Human,1,26,"N/A, Cherry, Unicorn Hair",A shy and initially clumsy student at Hogwarts who becomes a courageous hero.
Luna Lovegood,Female,Pure-Blood,Human,2,26,"N/A, N/A, N/A",A quirky and kind-hearted student known for her belief in magical creatures and conspiracy theories.
Tom Riddle,Male,Half-Blood,Human,4,"32, 18","13"", Yew, Phoenix Feather",The young Voldemort before he became the Dark Lord a student at Hogwarts known for his charisma and dark tendencies.
Draco Malfoy,Male,Pure-Blood,Human,4,"30, 31, 32,10","10"", Hawthorn, Unicorn Hair",A student from a wealthy and prejudiced family initially Harry's rival at Hogwarts.
Severus Snape,Male,Half-Blood,Human,4,"22, 32","N/A, N/A, N/A",The complex and enigmatic Potions Master at Hogwarts with a mysterious past.
Bellatrix Lestrange,Female,Pure-Blood,Human,4,"32, 30, 33","12"", Walnut, Dragon Heartstring",A fanatical and sadistic follower of Voldemort known for her cruelty.
Nymphadora Tonks,Female,Half-Blood,Human,3,27,"N/A, N/A, N/A",A cheerful and talented young witch who can change her appearance at will.
Albus Dumbledore,Male,Half-Blood,Human,1,"22, 34, 35, 36","15"", Elder, Thestral Tail Hair",The wise and powerful headmaster of Hogwarts and mentor to Harry.
Albus Potter,Male,Half-Blood,Human,4,1,"N/A, Cherry, N/A",Harry's son a student at Hogwarts and one of the main characters in the epilogue.
Salazar Slytherin,Male,Pure-Blood,Human,4,37,"N/A, Snakewood, Basilisk horn","Salazar Slytherin, a Hogwarts founder, esteemed cunningness and ambition, shaping the values of Slytherin House."
Rubeus Hagrid,Male,Half-Blood,Half-Giant/Half-Human,1,22,"16"", Oak, N/A",The gentle giant groundskeeper at Hogwarts who cares for magical creatures.
Dobby,Male,Pure-Blood,House-Elf,5,1,"N/A, N/A, N/A",A free elf who initially serves the Malfoy family and later becomes a friend of Harry.
Alastor Moody,Male,Pure-Blood,Human,5,"22, 27","N/A, N/A, N/A",An experienced Auror and Defense Against the Dark Arts teacher at Hogwarts.
Sirius Black,Male,Pure-Blood,Human,1,22,"15"", Reed, N/A",Harry's godfather and a member of the Order of the Phoenix wrongly imprisoned for a crime he didn't commit.
Remus Lupin,Male,Half-Blood,Human,1,"22, 46","10"", Cypress, Unicorn Hair",A kind and knowledgeable werewolf who is one of Harry's mentors.
Minerva McGonagall,Female,Half-Blood,Human,1,"22, 25,10","9"", Fir, Dragon Heartstring",The stern but fair Deputy Headmistress of Hogwarts and head of Gryffindor house.
Fred Weasley,Male,Pure-Blood,Human,1,"26, 45,10","14"", N/A, N/A",One of the mischievous Weasley twins known for their pranks and humor.
George Weasley,Male,Pure-Blood,Human,1,"26, 45,10","N/A, N/A, N/A",The other half of the Weasley twin duo also known for their joke shop.
Lucius Malfoy,Male,Pure-Blood,Human,4,"32, 47","N/A, Elm, Dragon Heartstring",Draco's father and a prominent Death Eater supporter.
Cedric Diggory,Male,Half-Blood,Human,3,10,"12"", Ash, Unicorn Hair",A talented and fair-minded student from Hogwarts who tragically died in the Triwizard Tournament.
Godric Gryffindor,Male,Half-Blood,Human,1,37,"N/A, N/A, N/A","Godric Gryffindor, a Hogwarts founder, was known for his bravery and chivalry, and these qualities define Gryffindor House."
Helga Hufflepuff,Female,Pure-Blood,Human,3,37,"N/A, N/A, N/A","Helga Hufflepuff, one of Hogwarts' founders, valued hard work, loyalty, and fair play, which are the hallmarks of Hufflepuff House."
Rowena Ravenclaw,Female,Pure-Blood,Human,2,37,"N/A, N/A, N/A","Rowena Ravenclaw, a Hogwarts founder, prized intelligence and wisdom, embodying the ideals of Ravenclaw House."
Ronan,Male,Pure-Blood,Centaur,5,38,"N/A, N/A, N/A",Known for his wisdom and affiliation with the Forbidden Forest.
Narcissa Malfoy,Female,Pure-Blood,Human,4,"30, 32","N/A, N/A, N/A","Has unwavering devotion to her family, particularly her son Draco, and her affiliation with the Death Eaters."
